precio,ubicacion,tamanio,latitud,longitud
8600," ZACATECAS ,  Roma Norte, Cuauhtémoc",361,19.414882000000000,-99.163848800000000
8500," Calzada de las Bombas, 847,  Cafetales, Coyoacán",23,19.309228999999998,-99.106115199999990
18000,"  AZCAPOTZALCO,  Centro de Azcapotzalco, Azcapotzalco",621,19.482325300000000,-99.185752000000000
12000," FELIX CUEVAS,  Del Valle Sur, Benito Juárez",45,19.372192300000000,-99.171797000000000
19500," Los Juárez ,  San José Insurgentes, Benito Juárez",72,19.370725600000000,-99.187125700000000
40000," Boulevard Manuel Ávila Camacho no. 50,  Lomas de Chapultepec, Miguel Hidalgo",60,19.430282300000000,-99.206740400000000
12800," Clavijero 40,  Esperanza, Cuauhtémoc",46,19.420681000000000,-99.129486200000000
42250," Juan Salvador Agraz,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",651,19.359400000000000,-99.278700000000000
14000," Presa Valsequillo,  Irrigación, Miguel Hidalgo",42,19.441652200000000,-99.208758100000000
34000," Eje 10 Sur al 600,  Jardines del Pedregal, Alvaro Obregón",50,19.330308200000001,-99.209200199999997
9900," Renta de Consultorio Médico  en Escandón,  Escandón I Sección, Miguel Hidalgo",19,19.402915300000000,-99.182983300000003
15000," Gabriel Mancera,  Del Valle Centro, Benito Juárez",23,19.399899999999998,-99.161100000000004
7000," Xola 964,  Narvarte Poniente, Benito Juárez",15,19.396378500000000,-99.159777600000000
15000,"  Calz. Santa Anita #, Iztacalco,  Piedad Narvarte, Benito Juárez",54,19.398898300000000,-99.131705300000000
14800," Prolongación Paseo de La Reforma ,  Santa Fe, Alvaro Obregón",18,19.370717100000000,-99.265355700000000
28500," Av. del Peñón,  Moctezuma, Venustiano Carranza",30,19.439199999999999,-99.094599999999999
12000," Pípila,  Guadalupe del Moral, Iztapalapa",55,19.369417299999998,-99.074370799999996
9000," miramar ,  Miravalle, Benito Juárez",23,19.360723600000000,-99.142188300000000
12500," Lago Victoria 16,  Granada, Miguel Hidalgo",30,19.441227100000000,-99.193523399999990
15750," ,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",3625,19.360708600000000,-99.279412600000000
38000," Del Valle Centro, Benito Juárez,  Del Valle Sur, Benito Juárez",57,19.379715100000000,-99.167713200000000
38000," GRANADITAS,  Centro , Cuauhtémoc",42,19.443083200000000,-99.127382400000000
14828," Av. Manuel González,  San Simón Tolnahuac, Cuauhtémoc",35,19.455999999999999,-99.142300000000005
30000," Prado Norte,  Lomas de Chapultepec, Miguel Hidalgo",60,19.427376600000000,-99.211281500000000
